Creditability,Balance of current account,Duration in months,Payment of previous credits,Purpose of credit,Amount of credit in DM,Value of savings or stocks,Has been employed by current employer for,Installment in % of available income,Marital Status/Sex,Further debtors/Guarantors,Living in current household for,Most valuable available assets,Age in years,Further running credits,Type of apartment,Number of previous credits at this bank,Occupation,Number of persons entitled to maintainance,Telephone,Foreign worker,NewVar
bad,no running account,24,no previous credits or paid back,items of furniture,1987,no savings,between 1 and 4 years,between 25 and 35,male:single,none,greater than 7 years,no assets,21,no further running credits,free apartment,one,unskilled with permanant residence,0 to 2,no,yes,-1.377518335
bad,no balance,36,no previous credits or paid back,household appliances,2384,no savings,less than 1 year,less than 20,male:single,none,less than 1 year,ownership of house or land,33,no further running credits,free apartment,one,unskilled with permanant residence,3 and more,no,yes,-1.381837518
good,>=200 DM,18,no previous credits or paid back,used car,3422,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,car/other,47,at other banks,rented,4 or 5,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,-1.395263843
good,<= 200 DM,12,no problems with current credits at this bank,other,2247,no savings,between 1 and 4 years,between 25 and 35,female:divorced/living apart/married,none,between 1 and 4 years,savings contract with a building society/Life insurance,36,at department store or mail order house,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.395840195
bad,no running account,24,no problems with current credits at this bank,other,4870,no savings,between 1 and 4 years,between 20 and 25,male:single,none,greater than 7 years,ownership of house or land,53,no further running credits,owner,2 or 3,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,-1.413340008
good,<= 200 DM,6,paid back previous credits at this bank,repair,1047,no savings,between 1 and 4 years,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,car/other,50,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,-1.419352719
good,no running account,36,no previous credits or paid back,business,15857,no savings,unemployed,between 25 and 35,male:divorced/living apart,co-applicant,between 4 and 7 years,savings contract with a building society/Life insurance,43,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,no,yes,-1.426371492
bad,no running account,9,no previous credits or paid back,other,1422,no savings,less than 1 year,between 20 and 25,male:single,none,between 1 and 4 years,ownership of house or land,27,no further running credits,owner,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-1.427346393
good,>=200 DM,15,no previous credits or paid back,items of furniture,1979,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,35,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.430617337
good,>=200 DM,30,paid back previous credits at this bank,items of furniture,6742,greater than 1000 DM,between 4 and 7 years,between 25 and 35,male:single,none,between 4 and 7 years,car/other,36,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.432157576
good,>=200 DM,15,no previous credits or paid back,items of furniture,3568,no savings,greater than 7 years,less than 20,female:divorced/living apart/married,none,between 1 and 4 years,savings contract with a building society/Life insurance,54,at other banks,free apartment,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-1.433355679
bad,no balance,24,paid back previous credits at this bank,items of furniture,1216,less than 100 DM,less than 1 year,less than 20,male:single,none,greater than 7 years,ownership of house or land,38,at other banks,rented,2 or 3,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,-1.435572033
bad,no balance,30,no previous credits or paid back,used car,3441,less than 100 DM,between 1 and 4 years,between 25 and 35,female:divorced/living apart/married,co-applicant,greater than 7 years,savings contract with a building society/Life insurance,21,at other banks,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.440170145
good,no balance,18,no previous credits or paid back,other,6260,no savings,between 4 and 7 years,between 20 and 25,male:single,none,between 4 and 7 years,no assets,28,no further running credits,free apartment,one,unskilled with permanant residence,3 and more,no,yes,-1.460431742
good,<= 200 DM,6,paid back previous credits at this bank,other,1299,no savings,between 1 and 4 years,greater than 35,male:single,none,less than 1 year,no assets,74,no further running credits,rented,4 or 5,unemployed/unskilled with no permaant residence,0 to 2,no,no,-1.46816627
good,>=200 DM,24,paid back previous credits at this bank,other,1940,between 500 and 1000 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,no assets,60,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.468772579
good,no balance,21,paid back previous credits at this bank,used car,2745,between 500 and 1000 DM,between 4 and 7 years,between 20 and 25,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,32,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.481943557
good,>=200 DM,60,no previous credits or paid back,items of furniture,10144,less than 100 DM,between 4 and 7 years,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,no assets,21,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.483745357
good,>=200 DM,24,no previous credits or paid back,items of furniture,3181,no savings,less than 1 year,less than 20,female:divorced/living apart/married,none,greater than 7 years,car/other,26,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.483952385
good,>=200 DM,24,no previous credits or paid back,items of furniture,999,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,25,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.484954697
good,>=200 DM,6,hesistant payment of previous credits,other,1204,less than 100 DM,between 1 and 4 years,less than 20,male:single,none,less than 1 year,ownership of house or land,35,at other banks,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,no,-1.498266237
good,<= 200 DM,15,no previous credits or paid back,retraining,2687,no savings,between 4 and 7 years,between 25 and 35,male:single,none,greater than 7 years,car/other,26,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.501399222
good,no running account,10,paid back previous credits at this bank,other,2241,no savings,less than 1 year,greater than 35,male:single,none,between 4 and 7 years,no assets,48,no further running credits,free apartment,2 or 3,unskilled with permanant residence,0 to 2,no,no,-1.501967596
good,>=200 DM,15,no problems with current credits at this bank,used car,960,between 500 and 1000 DM,between 4 and 7 years,between 20 and 25,female:divorced/living apart/married,none,between 1 and 4 years,car/other,30,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.505482907
good,>=200 DM,24,paid back previous credits at this bank,items of furniture,5103,no savings,less than 1 year,between 20 and 25,male:married/widowed,none,between 4 and 7 years,ownership of house or land,47,no further running credits,owner,4 or 5,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.509286908
good,>=200 DM,9,no previous credits or paid back,items of furniture,2697,no savings,between 1 and 4 years,greater than 35,male:single,none,between 1 and 4 years,no assets,32,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,-1.538597115
good,no running account,18,paid back previous credits at this bank,used car,1049,no savings,less than 1 year,less than 20,female:divorced/living apart/married,none,greater than 7 years,car/other,21,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.546671811
good,no balance,24,no problems with current credits at this bank,other,1965,greater than 1000 DM,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,42,no further running credits,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.547273218
good,no balance,30,hesistant payment of previous credits,retraining,4221,no savings,between 1 and 4 years,between 25 and 35,female:divorced/living apart/married,none,less than 1 year,savings contract with a building society/Life insurance,28,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.547891222
good,>=200 DM,48,paid back previous credits at this bank,new car,8858,greater than 1000 DM,between 4 and 7 years,between 25 and 35,male:single,none,less than 1 year,ownership of house or land,35,no further running credits,owner,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.548691706
